Judul Berita,Keyword,Sumber Berita,Tanggal Terbit,URL
"Harga Rumah Subsidi 2026 Tak Naik, Pengembang Ngeluh Harga Material-Tanah Mahal",Harga naik ,Detik.com,2025-12-31,https://www.detik.com/properti/berita/d-8284179/harga-rumah-subsidi-2026-tak-naik-pengembang-ngeluh-harga-material-tanah-mahal
Oh Ternyata Ini Penyebab Harga Emas Diramal Naik Terus,Harga naik ,Detik.com,2025-12-31,https://finance.detik.com/berita-ekonomi-bisnis/d-8281037/oh-ternyata-ini-penyebab-harga-emas-diramal-naik-terus
Efek Perubahan Iklim Gagal Panen hingga Harga Beras Naik,Harga naik ,Detik.com,2025-12-31,https://20.detik.com/detik-sore/20240318-240318147/efek-perubahan-iklim-gagal-panen-hingga-harga-beras-naik
"Gunung Bur Ni Telong di Bener Meriah Naik Level Siaga Usai Gempa M 4,5",Harga naik ,Detik.com,2025-12-31,https://www.detik.com/sumut/berita/d-8285085/gunung-bur-ni-telong-di-bener-meriah-naik-level-siaga-usai-gempa-m-4-5
Angka Kriminalitas dan Peredaran Narkoba di Tulungagung Naik Selama 2025,Harga naik ,Detik.com,2025-12-31,https://www.detik.com/jatim/jogo-jatim/d-8284904/angka-kriminalitas-dan-peredaran-narkoba-di-tulungagung-naik-selama-2025
"Kriminalitas di Sidoarjo Turun 32 Persen, Kasus Narkoba Naik",Harga naik ,Detik.com,2025-12-31,https://www.detik.com/jatim/jogo-jatim/d-8284567/kriminalitas-di-sidoarjo-turun-32-persen-kasus-narkoba-naik
"Mulai Desember, Tarif BBM Non-Subsidi Naik di Seluruh Indonesia",Harga naik ,Detik.com,2025-12-31,https://finance.detik.com/foto-bisnis/d-8240220/mulai-desember-tarif-bbm-non-subsidi-naik-di-seluruh-indonesia
"Kasus Narkotika di KBB Naik Tiap Tahun, Paling Banyak di Lembang",Harga naik ,Detik.com,2025-12-31,https://www.detik.com/jabar/hukum-dan-kriminal/d-8284767/kasus-narkotika-di-kbb-naik-tiap-tahun-paling-banyak-di-lembang
Warga Hadiri Perayaan Malam Tahun Baru di Jakarta Diimbau Naik Transum,Harga naik ,Detik.com,2025-12-31,https://news.detik.com/berita/d-8284794/warga-hadiri-perayaan-malam-tahun-baru-di-jakarta-diimbau-naik-transum
Pengungkapan Kejahatan Polres Lombok Barat Turun 9%,Harga turun,Detik.com,2025-12-31,https://www.detik.com/bali/hukum-dan-kriminal/d-8285025/pengungkapan-kejahatan-polres-lombok-barat-turun-9
