Judul Berita,Keyword,Sumber Berita,Tanggal Terbit,URL
"Harga Bawang Merah Capai Rp 60 Ribu di Sumut, Disperindag Beberkan Penyebabnya",Harga bawang merah,Detik.com,2025-11-26,https://www.detik.com/sumut/bisnis/d-8056692/harga-bawang-merah-capai-rp-60-ribu-di-sumut-disperindag-beberkan-penyebabnya
"Harga Bawang Merah di Sumut Terus Naik, Cabai Masih Lesu",Harga bawang merah,Detik.com,2025-11-26,https://www.detik.com/sumut/bisnis/d-8014419/harga-bawang-merah-di-sumut-terus-naik-cabai-masih-lesu
"Impor Ilegal Terjadi Lagi, Beras hingga Minyak Goreng Masuk Batam",Harga minyak goreng,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8228398/impor-ilegal-terjadi-lagi-beras-hingga-minyak-goreng-masuk-batam
Harga Minyak Goreng Diprediksi Naik Segini jika B50 Diterapkan,Harga minyak goreng,Detik.com,2025-11-26,https://finance.detik.com/industri/d-8165975/harga-minyak-goreng-diprediksi-naik-segini-jika-b50-diterapkan
"Kejati Banten Bongkar Kasus Jual Beli Fiktif Minyak Goreng, Negara Rugi Rp 20 M",Harga minyak goreng,Detik.com,2025-11-26,https://news.detik.com/berita/d-8226760/kejati-banten-bongkar-kasus-jual-beli-fiktif-minyak-goreng-negara-rugi-rp-20-m
Video: Harga Minyak Goreng di Transmart Full Day Sale Murah Meriah,Harga minyak goreng,Detik.com,2025-11-26,https://20.detik.com/detikupdate/20241222-241222074/video-harga-minyak-goreng-di-transmart-full-day-sale-murah-meriah
Harga Minyak Goreng-Gula di Sumut Makin Mahal,Harga minyak goreng,Detik.com,2025-11-26,https://www.detik.com/sumut/berita/d-8143534/harga-minyak-goreng-gula-di-sumut-makin-mahal
Pengusaha Ungkap Permainan Harga Minyak Goreng di Pasar,Harga minyak goreng,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-7775774/pengusaha-ungkap-permainan-harga-minyak-goreng-di-pasar
"Awal Puasa, Harga Minyak Goreng di 136 Daerah Naik!",Harga minyak goreng,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-7816414/awal-puasa-harga-minyak-goreng-di-136-daerah-naik
"Stabilkan Inflasi, Pemkot Jambi Selenggarakan Gerakan Pangan Murah",Harga minyak goreng,Detik.com,2025-11-26,https://finance.detik.com/foto-bisnis/d-8214898/stabilkan-inflasi-pemkot-jambi-selenggarakan-gerakan-pangan-murah
